id,industry_slug,key,name,role,position
1,semiconductor,front-end-equipment,前工程装置（WFE）,ウェハ上にトランジスタを形成する装置群。エッチング、成膜、洗浄、コータ／デベロッパなど。,前工程
2,semiconductor,mask-inspection,マスク・検査装置,EUV マスク欠陥検査、ウェハ検査装置。極めて狭いニッチで寡占。,前工程
3,semiconductor,back-end-equipment,後工程装置,ウェハ切断・薄化装置、ウェハプローバ。CoWoS／HBM 後工程拡大で構造受益。,後工程
4,semiconductor,test-equipment,テスト装置,完成半導体の性能・品質検査。AI 半導体・HBM テスト需要で急成長。,後工程
5,semiconductor,materials,材料（ウェハ・レジスト）,シリコンウェハ、フォトレジスト、ガス、薬液など。製造のたびに消費される消耗材。,材料
6,semiconductor,mask-blanks,マスクブランクス,回路の設計図を焼き付けるフォトマスクの原版。EUV 用は HOYA がほぼ独占。,材料
7,semiconductor,package-substrate,パッケージ基板,チップと基板をつなぐ高密度配線基板（FC-BGA）。AI 半導体の大型化で構造受益。,部材
8,semiconductor,backend-materials,後工程材料,CMP スラリー、封止材、ダイボンディング材など。先端パッケージ化で使用量が増加。,材料
9,semiconductor,equipment-parts,製造装置部材,半導体製造装置に組み込まれる真空シール、石英、サセプタ等。,部材
10,semiconductor,fabless,ファブレス（設計）,製造を委託、設計に特化。カスタム SoC・ASIC。データセンタ向け急拡大。,設計
11,semiconductor,auto-idm,車載・マイコン（IDM）,設計から製造まで一貫の IDM。車載マイコンで世界首位級、自動車業界との結節点。,設計
12,semiconductor,power-semi,パワー半導体,電力変換用デバイス。SiC（炭化珪素）で EV／産業向け需要拡大。,パワー
13,semiconductor,metrology,計測・通信計測,高速信号品質試験、通信計測器。AI 半導体高速 I/O 試験で関連。,計測
14,pharmaceutical,pharma-major,新薬大手（メガファーマ）,新薬開発から販売までを垂直統合で運営。R&D 比率 15-20% で長期投資、特許期間中に回収。,設計
15,pharmaceutical,medical-devices,医療機器,カテーテル、画像診断、輸血関連、糖尿病ケアなどのデバイス。消耗品リカーリングが利益安定要因。,計測
16,pharmaceutical,cdmo-diagnostic,CDMO・診断（ヘルスケア多角化）,医薬品の受託製造、医療画像診断装置など。多角化企業のヘルスケア部門が中心。,材料
17,saas,saas-accounting,会計・経理 SaaS,クラウド会計・経費精算・電子帳簿。中小〜中堅企業のバックオフィス DX の中心。,バックオフィス
18,saas,saas-sales,営業 SaaS,名刺管理・契約管理・請求書管理など営業の周辺業務 DX。,営業マーケ
19,saas,saas-communication,コミュニケーション SaaS,ビジネスチャット・ビデオ会議など、社内外のコミュニケーション基盤。,コミュニケーション
20,saas,saas-security,セキュリティ SaaS,メールセキュリティ・認証統合・ID 管理など、クラウド環境のセキュリティ強化。,セキュリティ
21,automotive,auto-oem-major,OEM 大手（グローバル展開）,世界販売 100 万台以上、グローバル全方位展開する大手 OEM。,OEM
22,automotive,auto-oem-niche,OEM 中堅・特化型,特定市場・特定技術で差別化する OEM。インド・北米・プレミアム等。,OEM
23,automotive,auto-tier1-electronics,Tier1（電装・電動化）,電動化部品（インバータ・モーター）、ADAS、車載半導体を担う Tier1。,Tier1電装
24,automotive,auto-tier1-mechanical,Tier1（機構部品）,トランスミッション・ブレーキ・ボディ部品など機構系 Tier1。EV 化で事業転換期。,Tier1機構
25,trading-house,trading-energy,資源・エネルギー型,鉄鉱石・LNG・原料炭・銅などの資源権益を事業の柱とする商社。資源価格サイクルとの連動性が高い。,資源エネルギー
26,trading-house,trading-nonresource,非資源型（消費・サービス）,コンビニ・繊維・住生活・食料など消費者接点が多い商社。資源価格変動の影響が小さく、ROE 効率が高い。,生活産業
27,trading-house,trading-balanced,バランス型・北米・電力,金属・電力・食料・建機・メディアなどに多角展開、北米事業比率が高い商社。,機械モビリティ
28,finance,fin-megabank,メガバンク 3 行,預貸利ザヤ・投資銀行・資産運用を統合した総合金融グループ。日銀利上げの最大受益者。,メガバンク
29,finance,fin-securities,総合証券（野村）,リテール・投資銀行・運用の総合証券。新 NISA 拡大期のリテール再評価が期待される。,証券
30,finance,fin-property-insurance,損害保険大手,自動車保険・火災保険を中心に、海外 M&A でグローバル展開する損保大手。,損保
31,real-estate,re-office,オフィス・商業デベロッパー,東京都心のオフィスビル・商業施設を中心に開発・賃貸する 3 大デベロッパー。,オフィス不動産
32,real-estate,re-housing,住宅大手,戸建住宅・賃貸住宅・マンションを中心に展開、海外住宅事業にも進出する住宅大手。,住宅不動産
33,telecom,tel-stable,通信安定配当 2 社,NTT・KDDI、累進配当方針で 22 期連続増配の安定収益型。配当目的投資家の代表的安全資産。,移動通信
34,telecom,tel-ai-invest,AI 投資持株会社（SBG）,Arm・OpenAI・Stargate への大型投資で AI 上流バリューチェーンを制圧、通信会社というより投資ファンド。,AI投資
35,telecom,tel-rakuten,EC × モバイル経済圏（楽天）,EC を起点とする経済圏型企業、モバイル赤字を金融セグメントが支える構造。,インターネット
36,chemicals,chem-conglomerate,総合化学（汎用＋機能性のミックス）,汎用化学（スチレン・石化）と機能性化学（MMA・電子材料）を併せ持つ大手。汎用部門の構造不況からの転換が長期テーマ。,汎用化学
37,chemicals,chem-functional-material,機能性素材専業（東レ）,汎用化学から脱却、炭素繊維・電池セパレータ・水処理膜の機能性素材世界トップシェア多数。Boeing/Airbus・EV・水不足の恩恵を直接享受。,繊維素材
