insight_temp_id,company_id,title,lede,body,generated_at
1,2874,EUV 後の Hi-NA 装置採用タイミングは TEL のシェアを再構成しうる,,ASML の Hi-NA EUV 普及局面では、塗布／現像とエッチングの精度要求が一段引き上がる。TEL は EUV 対応コータ／デベロッパで独占的地位を持つ一方、Hi-NA 世代の認定タイミング次第で 2027 年以降の機種別利益率が大きく変わる。決算説明会では Hi-NA 対応の言及が浅く、投資家認識との温度差が大きい。,2026-05-22T10:00:00+09:00
2,2874,中国売上構成の質的変化：レガシー装置から先端へのミックス変化が利益率を変える,,中国売上比率 40% の絶対値はメディアでも頻出論点だが、ミックスの議論は浅い。レガシーノード向け装置（成膜・洗浄）と先端ロジック向け装置で粗利率が 10pt 以上違う。米輸出規制のさらなる強化が先端比率を引き下げる場合、売上維持でも利益率は段階的に低下しうる。,2026-05-22T10:00:00+09:00
3,2874,フィールドソリューション売上の構造化が遅れているリスク,,AMAT・ラムが装置設置ベースに対するサービス売上比率を明示開示しているのに対し、TEL は装置販売と一体運用の説明にとどまる。装置サイクル下降局面でサービス収益の安定性がどこまで効くかが見えにくく、ピーク懸念が割安修正を阻害している可能性。,2026-05-22T10:00:00+09:00
4,2253,HBM テスト機売上の前提崩壊リスクが市場予想に織り込まれていない,,HBM3E から HBM4 への世代交代でテスト工程が長時間化し、テスタ需要が増える前提が市場に広く共有されている。しかし HBM 製造各社の独自テスト内製化や、KGSD（Known Good Stacked Die）テスト方式の変化が起きると、テスタ需要の伸びは線形には乗らない。決算説明会ではこの点への言及が薄い。,2026-05-22T10:00:00+09:00
5,2253,テラダイン依存構造に変化、競合再編リスク,,後工程テスタは長年テラダインとの 2 強寡占で安定推移してきたが、Cohu・中国系新興プレイヤーの先端領域参入が静かに進む。アドバンテストの SoC テスタシェア優位がいつまで保てるか、競合分析の更新が必要。,2026-05-22T10:00:00+09:00
6,2253,PER 38 倍の前提：成長持続年数の感応度を可視化する必要,,PER 38 倍は SOX 平均 28 倍を大きく上回る。AI 半導体投資が 2027 年以降も継続する前提が崩れた場合の感応度が高く、現在の株価は『投資サイクルが少なくとも 3 年は減速しない』ことを織り込んでいる。下方サプライズ局面でのドローダウン耐性が中期テーマ。,2026-05-22T10:00:00+09:00
7,2285,受注残の質：保守・更新比率と新規容量増設比率の開示粒度が粗い,,受注残は明示開示されているが、内訳が『先端ロジック向け新規ライン分』『既存顧客の更新分』『マスクブランクスメーカー向け』で見えていない。Hi-NA 世代対応で大幅再投資が必要になる場合と、既存装置の延命が進む場合で 2027 年以降の業績は大きく分かれる。,2026-05-22T10:00:00+09:00
8,2285,競合不在のニッチ性が、逆に新規参入の経済合理性を変えるしきい値に近づいている,,粗利率 60% 超のニッチを長年独占しているが、KLA や ASML 子会社からの参入観測がしきい値を超え始める水準にある。中期的な競合参入リスクの感度分析が IR から不足している。,2026-05-22T10:00:00+09:00
9,2285,中国向けセールスの『規制裏側』エクスポージャー,,中国売上比率は表面上低いが、台湾・韓国経由で中国系顧客に最終納入される構造がどの程度あるかは IR で明らかにされていない。間接エクスポージャーが規制強化局面で表面化するリスクがある。,2026-05-22T10:00:00+09:00
10,1858,ブレード（消耗品）売上の循環性は装置売上ほど高くないが、開示粒度が粗い,,ブレード売上比率は 30% 強だが、稼働ベースのリカーリング構造の堅さが定量的に示されていない。装置サイクル下降局面でも稼働ベースが維持されればブレード売上は安定する仮説の検証材料が不足。,2026-05-22T10:00:00+09:00
