company_id,launch,expansion,mature,decline,rationale,updated_at
2874,5,72,28,0,売上 3 年 CAGR +9.2%、営業利益率 27% 台で高水準安定。EUV／GAA／HBM 投資循環を踏まえ拡大期色が濃いが、装置サイクルのピーク懸念が成熟期スコアを押し上げ。,2026-06-14T03:21:09.271Z
2253,14,86,10,0,売上 3 年 CAGR +22.6% は半導体製造装置平均を大きく上回る。AI 半導体／HBM 投資の構造的追い風で拡大期色が極めて強い。,2026-06-14T03:21:09.271Z
2285,22,78,16,0,売上 3 年 CAGR +18.9%、営業利益率 34% 台と高水準。EUV 普及局面の独占受益で拡大期色が強いが、受注変動性の大きさが特徴。,2026-06-14T03:21:09.271Z
1858,4,74,32,0,売上 3 年 CAGR +14.3%、営業利益率 38% 台と高水準安定。CoWoS／HBM 後工程拡大で拡大期色強いが、ブレード消耗品の安定性が成熟期スコアを押し上げ。,2026-06-14T03:21:09.271Z
2702,2,64,38,0,売上 3 年 CAGR +11.8%、営業利益率 18% 台。半導体セグメントは拡大期だが、非半導体セグメントの低収益性が混合し成熟期寄り。,2026-06-14T03:21:09.271Z
2306,38,22,48,18,売上 3 年 CAGR -3.4%、営業利益率 2.8% と低水準。SiC 投資負荷で短期は衰退期色も混じるが、SiC 立ち上げが成功すれば拡大期へ移行する境界銘柄。,2026-06-14T03:21:09.271Z
2085,28,72,14,0,売上 3 年 CAGR +16.2%、データセンタ向けカスタム ASIC が成長ドライバ。NRE フェーズから量産ロイヤルティへの移行で利益率改善余地大きい。,2026-06-14T03:21:09.271Z
1006,0,28,84,12,売上 3 年 CAGR +3.1%、営業利益率 28% 台で高水準安定。成熟期色が強く、PVC 市況によるブレが大きい。シリコンウェハは構造的成長領域だが連結への寄与は限定的。,2026-06-14T03:21:09.271Z
2270,8,82,14,0,売上 3 年 CAGR +19.8%、中国半導体投資の現地調達需要を取り込み拡大。営業利益率は装置メーカー比やや低位だが上昇基調。,2026-06-14T03:21:09.271Z
2201,10,42,58,12,売上 3 年 CAGR +4.2%、5G 投資ピークアウト後の通信投資減速で成熟期色が強い。6G 立ち上がり待ちの踊り場局面。,2026-06-14T03:21:09.271Z
2183,6,38,58,8,車載半導体の在庫調整局面で売上 3 年 CAGR +1.8% と足踏み。EV・ADAS の長期トレンドは拡大要因だが、足元の数字は成熟期色が濃い。在庫調整の出口で拡大スコアが戻るかが分岐点。,2026-06-14T03:21:09.271Z
682,3,26,60,11,ウェハ市況の調整が長期化し売上 3 年 CAGR −3.2%。顧客側のウェハ在庫消化が一巡した後の AI 向け先端ウェハ回復が拡大スコアの源泉だが、現時点では成熟・調整局面の色が濃い。,2026-06-14T03:21:09.271Z
2704,8,54,44,2,EUV 世代進行と HDD（ニアライン向け）回復で情報・通信が拡大、ライフケアは人口動態に乗る安定成長。ポートフォリオ全体では拡大寄りの安定成長で、振れ幅は半導体専業より小さい。,2026-06-14T03:21:09.271Z
2084,12,72,22,0,NAND の積層数増加と DRAM 微細化で成膜工程数が構造的に増えるトレンドに乗り、売上 3 年 CAGR +15.3% で拡大期色が強い。一方、中国売上比率の高さが規制リスクとして拡大シナリオの不確実性を高めている。,2026-06-14T03:21:09.271Z
1005,18,62,28,4,AI サーバー向け FC-BGA の需要急増に対し、新工場立ち上げの減価償却が利益に先行。売上 3 年 CAGR +2.4% と見かけは低いが、中身は PC 向け退潮と AI 向け急成長の入れ替わりで、ミックスは拡大期に転換中。,2026-06-14T03:21:09.271Z
2697,8,56,34,2,HBM・チップレット化で『切る前に検査する』ウェハレベルテストの工程数が増加し、プローバ需要は構造的に拡大。計測機器は安定収益だが景気連動で、全体では拡大寄りのバランス型。,2026-06-14T03:21:09.271Z
1058,8,52,42,2,ウェハ投入量の増加に連動する消耗材ビジネスで、EUV 採用ノードの拡大が単価ミックスを改善。装置のような受注の振れがなく、安定拡大型のプロファイル。,2026-06-14T03:21:09.271Z
966,10,40,50,10,半導体・電子材料は AI パッケージ需要で拡大期にあるが、石化・黒鉛電極など市況事業が全体の足を引っ張る複合構造。ポートフォリオ転換（石化分離）の進捗が拡大スコアの上限を決める。,2026-06-14T03:21:09.271Z
1250,4,24,78,22,売上 3 年 CAGR +2.1% で成熟期色濃厚。主力 VYVANSE が後発品参入で減収、新規パイプラインへの依存度が高まる踊り場。,2026-06-14T03:21:09.271Z
1283,18,84,14,0,売上 3 年 CAGR +18.4%、エンハーツ急拡大＋新規 ADC 3 剤の上市待ちで拡大期色が極めて強い。R&D 集中投資中。,2026-06-14T03:21:09.271Z
1251,14,42,54,22,イクスタンジ依存度高く成熟期色強いが、パドセブ・ベオーザの立ち上げが成功すれば次の拡大期へ移行する境界銘柄。,2026-06-14T03:21:09.271Z
