company_id,verdict,score,rationale,updated_at
2874,ほぼ妥当,52,PER 22.8 倍は WFE 平均 24 倍と概ね同水準、過去 5 年平均 25 倍に対しては 9% 下回るがピーク利益局面を踏まえれば違和感はない。ROE 28.7% / 営業利益率 27.5% という収益性を勘案すると、現株価は同業比でディスカウントとは言い切れず、ややプレミアム圏。,2026-06-14T03:21:09.271Z
2253,やや割高,28,PER 38.4 倍は SOX 平均 28 倍を 37% 上回り、過去 5 年平均 31 倍と比較しても 24% 高い。ROE 27.4% / 売上成長 22.6% の質を勘案しても、AI 投資ピークアウトリスクを織り込まないバリュエーション水準。,2026-06-14T03:21:09.271Z
2285,やや割高,32,PER 31.6 倍は同業精密検査装置平均 22 倍を 44% 上回る。寡占ニッチの正当なプレミアムを認めても、過去 5 年の業績変動率（標準偏差）を考慮した調整後 PER は依然として高水準。,2026-06-14T03:21:09.271Z
1858,ほぼ妥当,48,PER 27.8 倍は WFE 平均 24 倍を 16% 上回るが、営業利益率 38% / ROE 32% の収益性プレミアムを勘案すれば違和感はない水準。過去 5 年平均 29 倍をやや下回り、フェアバリュー圏。,2026-06-14T03:21:09.271Z
2702,割安,76,PER 14.8 倍は WFE 平均 24 倍を 38% 下回る。営業利益率 18% は同業比やや低位だが、ROE 24.6% / 配当利回り 2.4% を加味すれば割安水準。非半導体セグメントの整理が進めば再評価余地あり。,2026-06-14T03:21:09.271Z
2306,割安,71,PBR 0.84 倍は半導体セクター平均 4 倍を大きく下回り、解散価値以下水準。短期収益は悪化しているが、SiC 立ち上げに成功した場合の利益拡大余地と配当利回り 4.4% を勘案すれば下値抵抗感あり。,2026-06-14T03:21:09.271Z
2085,ほぼ妥当,55,PER 21.4 倍はファブレス国内平均 22 倍と同水準。ROE 14% / 営業利益率 9% は同業比やや低位だが、量産ロイヤルティ拡大局面では利益率改善余地。下値・上値ともに限定的なフェアバリュー圏。,2026-06-14T03:21:09.271Z
1006,ほぼ妥当,58,PER 17.4 倍は素材セクター平均 16 倍と概ね同水準。営業利益率 28% / ROE 12.6% の安定性を勘案すれば違和感のないフェアバリュー圏。シリコンウェハ単体評価では割安、PVC 循環で総合的に妥当。,2026-06-14T03:21:09.271Z
2270,割安,68,PER 12.4 倍は WFE 部材銘柄平均 18 倍を 31% 下回り、売上成長 19.8% を勘案すればディスカウント水準。中国エクスポージャーリスクのディスカウントを認めても下値抵抗感あり。,2026-06-14T03:21:09.271Z
2201,ほぼ妥当,51,PER 19.8 倍は計測器セクター平均 18 倍とほぼ同水準。配当利回り 3.1% / ROE 11% を勘案すればフェアバリュー圏。6G 投資の本格化が織り込み始まれば上方修正余地。,2026-06-14T03:21:09.271Z
